key,scope,resource_uri,ordinal,comment,description,title
small_molecule,screen.type,/reports/api/v1/vocabularies/screen.type/small_molecule/,1,,"A small molecule screen","Small Molecule"
rnai,screen.type,/reports/api/v1/vocabularies/screen.type/rnai/,2,,"An RNAi Screen",RNAi
commercial,library.type,/reports/api/v1/vocabularies/library.type/commercial/,1,,"A commercial llibrary",Commercial
dos,library.type,/reports/api/v1/vocabularies/library.type/dos/,2,,DOS,DOS
annotation,library.type,/reports/api/v1/vocabularies/library.type/annotation/,4,,Annotation,Annotation
academic_collection,library.type,/reports/api/v1/vocabularies/library.type/academic_collection/,5,,"Academic Collection","Academic Collection"
nih_mlp,library.type,/reports/api/v1/vocabularies/library.type/nih_mlp/,6,,NIH-MLP,NIH-MLP
known_bioactives,library.type,/reports/api/v1/vocabularies/library.type/known_bioactives/,7,,"Known Bioactives","Known Bioactives"
nci,library.type,/reports/api/v1/vocabularies/library.type/nci/,8,,NCI,NCI
natural_products,library.type,/reports/api/v1/vocabularies/library.type/natural_products/,9,,"Natural Products","Natural Products"
sirna,library.type,/reports/api/v1/vocabularies/library.type/sirna/,10,,siRNA,siRNA
shrna,library.type,/reports/api/v1/vocabularies/library.type/shrna/,11,,shRNA,shRNA
mirna_inhibitor,library.type,/reports/api/v1/vocabularies/library.type/mirna_inhibitor/,12,,"miRNA Inhibitor","miRNA Inhibitor"
mirna_mimic,library.type,/reports/api/v1/vocabularies/library.type/mirna_mimic/,13,,"miRNA Mimic","miRNA Mimic"
other,library.type,/reports/api/v1/vocabularies/library.type/other/,14,,Other,Other
discrete,library.type,/reports/api/v1/vocabularies/library.type/discrete/,15,,Discrete,Discrete
fragment,library.type,/reports/api/v1/vocabularies/library.type/fragment/,3,,Fragment,Fragment
1,plate.size,/reports/api/v1/vocabularies/plate.size/1/,0,,Vial,1
96,plate.size,/reports/api/v1/vocabularies/plate.size/96/,1,,"96 Well",96
384,plate.size,/reports/api/v1/vocabularies/plate.size/384/,2,,"384 Well",384
1536,plate.size,/reports/api/v1/vocabularies/plate.size/1536/,3,,"1536 Well",1536
dmso,library.solvent,/reports/api/v1/vocabularies/library.solvent/dmso/,1,,DMSO,DMSO
rnai_buffer,library.solvent,/reports/api/v1/vocabularies/library.solvent/rnai_buffer/,2,,"RNAi buffer","RNAi buffer"
other_aqueous,library.solvent,/reports/api/v1/vocabularies/library.solvent/other_aqueous/,3,,"Other (aqueous)","Other (aqueous)"
not_yet_plated,library.screening_status,/reports/api/v1/vocabularies/library.screening_status/not_yet_plated/,1,,"Not Yet Plated","Not Yet Plated"
not_allowed,library.screening_status,/reports/api/v1/vocabularies/library.screening_status/not_allowed/,2,,"Not Allowed","Not Allowed"
